image_id,fname,sample_1,sample_2,sample_3,sample_4,sample_5
110999,000000110999.jpg,a basket of fruit on a table next to a painting,a painting in a frame with fruit and grapes,there is a basket of fruits on the table,a painting next to other food in a bowl,painting of old man with fruit on a table
111036,000000111036.jpg,a dirty kitchen with a stove and refrigerator,the small stove is in the truck on the street,a stove in a garbagester sitting on the side of a road,a stove and oven in an abandoned dumpster,the stove is sitting in the garbagester outside
111086,000000111086.jpg,an ocean liner that is sitting next to cars in a lot,there are many cars parked next to a large ship,several cars are parked outside a passenger ferry,cars are parked in front of the large passenger boat,a bunch of cars are parked next to a large boat
111179,000000111179.jpg,the steeple of a church with a clock on it's face,a church clock on the side of the steeple,a large clock tower above a church steeple,the clock on the tower of the church is built under a clear blue sky,a large clock tower next to a red brick building
111207,000000111207.jpg,a man riding on the back of a skateboard,two photos of a man on a skate board,two images one is of a man doing tricks on his skateboard,there is a man riding a skateboard in an industrial area,two pictures of a person doing a skateboard trick in a warehouse
111609,000000111609.jpg,a man sleeping in a bed with a pillow and blanket,the man is asleep in the bed on his side,a man laying in a bed with pillows on the sides of the covers,a man sleeping in a bed covered by plaid comforters,a man sleeping under the covers on his bed
111951,000000111951.jpg,this bathroom has two sinks in it,a modern bathroom with two sinks and a glass walled shower stall,bathroom with modern counter tops and sink area with large mirrors,the view of a very well lit and nice looking bathroom,modern bathroom with dual sink and shower combination
112110,000000112110.jpg,a person stepping on top of a suit case,a man is stepping on a briefcase on the ground,man stepping over black briefcase on bricked sidewalk,a person in blue jeans with a suitcase,a man on the street jumping over a small piece of luggage
112298,000000112298.jpg,man holding a racket in his hand next to shelves with sports items,a man stands in a kitchen next to a shelf full of bottles,black and white photograph of a man playing tennis in a bedroom,a man that is standing in a room with racket,a black and white photo of a man looking in
112378,000000112378.jpg,banana's and other tropical fruits on a wooden bench,several bananas on a picnic table next to a hammock,a table topped with lots of bananas next to water,green bananas and coconuts are sitting on a table with hammock in the,bananas and a coconut on a picnic table
112626,000000112626.jpg,an extremely large piece of luggage is shown on the floor,a suitcase sitting in the middle of a room,a suitcase that is in the middle of the floor next to a sofa,a large gray piece of luggage on the ground,a very nice looking silver suitcase in a room
112634,000000112634.jpg,two giraffe standing in a dirt area next to large rocks,two giraffes with their necks stretched out by the fence,two giraffes are standing near rocks in a pin,two giraffes in a zoo enclosure one is leaning over the fence to,a giraffe and another animal at the zoo
112798,000000112798.jpg,a cat that is laying down on a table,a cat resting its head on top of a desk,a black gray and white striped cat laying on top of a table,a cat resting on top of the desk next to the laptop,a cat is sitting at a desk with papers and pens
112997,000000112997.jpg,a hand holding an old style walkie talkie in front of a white table,a person holds an old cell phone,a person holding a very old phone with many wires behind it,a hand is holding an antique style video recorder,a person holding a black cellular phone in their hand
113051,000000113051.jpg,the boat is docked by the bridge and under it,a boat is docked near a brick wall in the dark,a small boat on the water under an overpass,a boat parked next to a wall and some poles,a small boat on the water in front of an arch
113235,000000113235.jpg,a hand is feeding an orange carrot to a lamao,a hand holding up a carrot that is pointed at an animal,a llama standing in a field with a piece of carrot in its mouth,a person's hand is holding a piece of carrot to their face,a close up of a person holding a carrot near a llama
113354,000000113354.jpg,three zebras walking on some dirt and trees,a zebra is grazing on grass behind another zebra,three zebras grazing on grass in an enclosure,a couple of zebras are standing on some grass,three zebras eating grass with foliage next to them
113403,000000113403.jpg,there are two teddy bears laying in a bed,a bunch of stuffed animals laying on some blankets,two teddy bears sit in a bed under the covers,two teddy bears are posed in the bed,a couple of stuffed animals that are under some blankets
113589,000000113589.jpg,a plastic container that has some food in it,plastic container of food with fruit and vegetables,a bento box is filled with various food items,a meal containing apples and other fruit is in its container,a container that has some food in it
113720,000000113720.jpg,a couple sitting at a table filled with pizza,some people are eating food and posing for a picture,some people are enjoying their pizza at a restaurant,a man and woman eating pizza at a table,a man and woman are sitting at a table eating pizza
113867,000000113867.jpg,a large clock tower in an old brick building,looking down at a brick building with a clock tower,"looking up at an old, weathered brick clock tower",there is a large tower with a clock at the top,looking up at a very tall brick tower with clock
114049,000000114049.jpg,people are on a train with luggage behind them,a group of people waiting to board a train,an image of people on the subway with their luggage,many people standing and riding on a subway train next to their luggage,a group of people with luggage standing on the side of a train
114770,000000114770.jpg,an army vehicle sits in front of an air force mural,an older style motorcycle and army vehicle are on display,vintage military vehicles and equipment displayed in museum setting,old fashioned military vehicles are on display in a museum,a war period military vehicle sitting on display
114871,000000114871.jpg,a banana and two squares of cheese on a plate,a banana sitting on top of a white plate,a banana and squares are on a white plate,a banana and two squares of peanut butter on a plate,the banana on the plate is peeled and ready to eat
114884,000000114884.jpg,a woman stands in front of several white buses,people stand near many buses on a lot,woman standing in airport terminal near large buses,a woman is looking at the busses,a woman standing next to a train near several buses
114907,000000114907.jpg,a lady is getting into the back of a bus with cows,a group of people standing in front of a truck and a cow,a woman in front of a milking machine giving people milking cows,"a woman standing in a crowd, with cow",the crowd watches as a woman guides a cow down a narrow road
115118,000000115118.jpg,the train is driving on a rail road track,a train engine carrying boxes down a rail road track,a train is pulling cargo along the tracks,an image of a train with freight cars on the tracks,a long train is coming down the track in the country
115245,000000115245.jpg,a group of people standing near tables with luggage on it,there are many bags sitting on the floor near the table,a group of young men sitting at long tables covered with luggage,a long table that has a lot of luggage on it,a table topped with lots of luggage covered in bags
115870,000000115870.jpg,a man in a baseball hat watching his friends play wii,four people are playing a video game on the couch,three people are sitting on a couch watching television,group of people sitting around a living room couches,a man standing in front of a group of people
115885,000000115885.jpg,the cat looks at the computer screen as it stares at something,a cat with its head close to the keyboard of a laptop computer,a cat looking at the screen on an open lap top,the cat is looking at a laptop computer,a laptop computer with an aurora glow screen
115898,000000115898.jpg,man riding surfboard on large choppy wave in open ocean,a man surfing a big wave in the ocean,the surfer is riding the breaking waves in the ocean,a man riding on top of a surfboard in the ocean,the man is surfing in the large ocean waves
115946,000000115946.jpg,a city street with some buildings and a traffic signal,traffic lights shine on a city street lined with buildings,a crosswalk in front of some buildings,"the street lights are all green, and there is no traffic",a street with cars and buildings next to a traffic light
116068,000000116068.jpg,three people are standing on a beach with a kite,two people looking at a multi colored kite on the beach,a man standing next to two women with a colorful kite,three people on the beach holding a colorful kite,the man is holding a kite next to two women on the beach
116206,000000116206.jpg,carrots and celery chopped on a cutting board next to a knife,a cutting board with chopped vegetables on it,carrots and onion on a cutting board next to a knife,a knife slicing up a bunch of chopped vegetables,a cutting board topped with chopped up vegetables
116208,000000116208.jpg,a large pizza on a table with some other pizzas and wine,a very big pizza on a plate by some drinks,a pizza with many toppings on a table,a huge pizza with lots of toppings on it,a pizza on top of a table with other food
116362,000000116362.jpg,a bowl on top of a wooden table filled with fruit,the food in the bowl is being prepared to be eaten,a bowl filled with vegetables on top of a wooden table,two bowls on the table have food and utensils in them,a bowl filled with chopped up vegetables in a white container
116439,000000116439.jpg,a woman on a boat floating through the water,an old woman rows her small boat past a shop,a woman is floating in a boat in the water,a person riding a boat on top of the water,a woman riding in a boat on the water
116479,000000116479.jpg,the canopy bed is made up with a white sheet on it,a bed is shown with a curtain over it,a bedroom with a large canopy bed,a white canopy bed with netting over it,bed with net canopy in a spacious bedroom
116589,000000116589.jpg,there are two zebras standing next to each other,three zebras are grazing on hay at the zoo,two zebra standing next to each other eating hay,two zebras stand next to each other with their head turned,a number of zebras on grass near one another
116825,000000116825.jpg,cat stretching out front of a desk with a remote,a cat stretches with its leg over a desk,a cat is scratching an item on a table,a cat on a table reaching for a toy mouse,cat playing with a knife on a table
117197,000000117197.jpg,a woman sitting on a brick ground talking on her cell phone,the woman in the photo is talking on her phone,a woman sitting on a bench with her phone up to her ear,a person sits on a curb talking on their cell phone,a woman sitting on a bench talking on her cellphone
117374,000000117374.jpg,three cats sitting under a tree near each other,two cats sitting on a dirt ground next to a tree,several cats sit under a tree near a fence,three cats sitting in the shade under a tree,a cat looking at a pigeon sitting on the ground
117425,000000117425.jpg,small boy at table with cupcake looking on,a small child is standing by a birthday cupcake,a baby boy holds his hand up toward a chocolate cupcake,a young child standing at a table with a cupcake,a baby is trying to blow out candles on a cupcake
117492,000000117492.jpg,a small crowd is playing outside together,a group of people standing in a park,several children holding toys while walking through a park,kids holding stuffed animals in an open field,people are standing in the grass near some flowers and trees
117525,000000117525.jpg,a bearded man wearing a santa hat with his dog in front of a decorated christmas,a man wearing a santa hat holds his dog,man in santa hat holding a small dog and standing next to a tree,a man standing next to a christmas tree,the man has a beard and wearing a santa claus hat
117645,000000117645.jpg,two people on snowboards in the snow,the person is skiing down a slope with trees in the background,person snowboarding down hill on snowy day,person standing in the snow looking back at their skis,a man standing on top of a snow covered slope
117719,000000117719.jpg,a man stands behind a bar with glasses on it,there is a man at the bar making drinks,a bartender sits behind a bar that has been stocked with bottles,bar attendant preparing customers for a drink in the evening,the bar is stocked with wine bottles and glasses
117744,000000117744.jpg,a little girl standing in a room with a tennis racket,the young girl is holding a tennis racket,a young girl holding onto a tennis racket and posing for the camera,a little girl in white shirt holding tennis racquet,a little girl that is holding a racquet
117908,000000117908.jpg,a woman is holding her cat close to the fridge and getting a drink,a cat walking inside of an opened fridge,a woman reaches down to look in the refrigerator,a person putting stuff inside the refrigerator with a cat on the floor,a cat standing in front of a refrigerator door
117914,000000117914.jpg,a bathroom filled with a toilet and a bath tub,a bathroom with a shelf over the toilet,a toilet sitting next to a bath tub in a bathroom,a bathroom with a towel rack and toilet,a bathroom with a metal rack over the toilet
118209,000000118209.jpg,two horses are standing behind a wire fence,two brown horses standing next to each other on a grass covered field,two horses in a field with grass and wire,two horses are looking out from a fence,two horses standing behind a wire fence on an open grassy field
118367,000000118367.jpg,a hand holding a hotdog covered in green and carrots,a hot dog is in a wrapper with vegetables,a hand holding a hot dog with lettuce and cilantro,a hand holding a hot dog with ketchup and cilantro,a man holding a hot dog with green lettuce and tomatoes
118405,000000118405.jpg,a green street sign sitting on the side of a road,a street sign in front of a store called oethello,the entrance of an outdoor diner called othelio,a green sign on the side of the road advertising a deli,a sign sitting on the side of a street
118515,000000118515.jpg,there is a kitten that is sitting on a bench,a small cat sitting on a wooden bench outside,a small kitten on a wooden plank outside,a small kitten sits on an old wooden bench,a small kitten sits on a wooden bench
118594,000000118594.jpg,cows grazing on a lush green field in an enclosed area,the steer is grazing in the field with other cattle,there are longhorns grazing in an enclosure together,some very pretty cattle in a big grassy field,a bull with long horns grazes on grass in a field
118921,000000118921.jpg,a skier stands on their skis in the snow,the woman is standing in her ski gear on a snowy path,there is a man riding skis down the hill,a person riding skis down a snowy path,a person riding skis on top of snow covered ground
119038,000000119038.jpg,cattle graze in a grassy meadow with mountains in the background,two cows in a meadow overlooking the hills,cattle grazing on grassy hill top in mountain range,there are three cows standing in the grass,cows grazing on a field of grass in front of mountains
119088,000000119088.jpg,three people wading in the water at a river,two men standing in the water playing frisbee,some people are playing in the water near some rocks,two people are in the water and one is playing frisbee,men are walking through a river with no pants
119233,000000119233.jpg,a cat laying on top of a laptop computer,a cat laying on top of a laptop computer,a cat stretches over an open laptop and mouse on a desk,"cat laying on top of laptop, keyboard and mouse",a black and white cat sitting on a laptop
119365,000000119365.jpg,a girl using a laptop computer while a young girl sits at a table next to,two girls look at a laptop with their cell phones,a girl sits at a table looking at her computer,two girls sitting at a table using a laptop,two children at desk using laptops with cell phones
119445,000000119445.jpg,a person on a field swinging a bat at a ball,baseball player swinging bat on field during game,there is a man that is playing baseball,a baseball player swinging at a ball while standing on a field,baseball player taking batting stance with ball coming towards him
119452,000000119452.jpg,a banana sitting next to some oranges and an apple,several different types of fruit in a basket,a close up shot of the fruit basket containing oranges and bananas,a close up of bananas and oranges with a sticker on them,close up image of banana and oranges in a basket
119516,000000119516.jpg,a woman walks down a city street in front of a large building,the woman is walking down the street at night,a woman in a brown jacket crossing a street at night,a woman is walking down the sidewalk in the evening,a very tall building near some pretty street lights
119641,000000119641.jpg,four people on elephants in the water playing with their trunks,several people ride elephants through the river on their backs,elephants crossing water with people on their backs,a group of people riding on the backs of elephants in a river,several elephants with tourists are in the water
119677,000000119677.jpg,there is no pastry on the plate with spoons,square piece of white cake with yellow frosting and a fork laying on the surface,a piece of cake on top of a slate slab,a piece of cake sitting on top of a white counter,a slice of cheesecake is on a granite block
119828,000000119828.jpg,the cat is on a table next to a laptop,black cat sitting on a desk in front of a laptop computer,a cat sitting on a desk next to a laptop computer,a cat sitting on a desk next to a laptop,a black cat sitting on a desk next to an open laptop computer
119911,000000119911.jpg,a young boy on a skateboard with a red cap and white striped shirt,a man is skateboarding on the street and looking down,a boy wearing red and blue gear is on a skateboard in a street,a boy on a skateboard on a residential street,the boy rides a skateboard on the road
119995,000000119995.jpg,a man playing tennis on a tennis court with spectators watching,a man in a blue shirt is playing tennis,the man is playing tennis at the tournament,tennis player in motion with racket ready to hit ball,a man with a tennis racket runs toward a ball on a court
120420,000000120420.jpg,young man sitting on the ground taking a picture with a smart phone,a young man taking a picture of himself with a cellphone,a person taking a picture with a cell phone,a man is holding up his camera to take a photo,a man taking a photo with his cell phone
120572,000000120572.jpg,a large church surrounded by a cemetery with a stone wall in front,a stone wall and a tall building with trees around it,an old church is seen from behind the stone fence,a stone wall and a church on a clear day,an old building with a stone fence in front of it
120584,000000120584.jpg,there is a jumbo machine and clock on the wall,there is a clock in the wall next to a game,a clock hanging on the wall above a game,a clock mounted on the wall above a gaming system,a white clock hanging from the ceiling above a game
120777,000000120777.jpg,a tray filled with two bowls of food,two plates holding hot dogs and chips on a tray,two plates with two sandwiches and chips on top,a tray with plates of food on it and two beverages,"two plates with food that include cheese, chips and drink"
120853,000000120853.jpg,a plate with a sandwich and salad on it,the sandwich is on the green plate with a bowl of salad,a sandwich and a salad are on a table,there is a chicken sandwich with coleslaw in the plate,a toasted sandwich sitting next to a bowl of coleslaw
121031,000000121031.jpg,people are riding horses through the water,people riding horses through shallow river on a sunny day,men and women on horses in a lake,four men riding horses through a body of water,a group of men riding on the back of brown horses through a river
121153,000000121153.jpg,a sign with chinese characters posted above it,there is a sign and street light at this intersection,a street sign with an arrow on the side of it,an airport has some signs next to it,a blue street sign attached to the side of a building
121242,000000121242.jpg,a red and black carriage sitting in the middle of a green field,two men riding in a horse drawn carriage,two people riding on a cart attached to a horse,a man drives a horse drawn carriage in a pasture,a horse drawn cart with two passengers on the grass
121417,000000121417.jpg,a woman sits on a bench while talking on a cell phone,a woman sits on the curb with an umbrella,a woman on the street sitting with an umbrella,woman sitting on bench holding an umbrella and talking on her cell phone,a woman is sitting on a bench holding an umbrella
121497,000000121497.jpg,some people doing crafts and working on a machine,men are standing around an assembly station with the machinery,three men look at something while standing around a machine,the three men are working on the machinery,people standing around working on something on top of a table
121506,000000121506.jpg,a umbrella sitting on top of a wooden table,the umbrella has been flipped upside over,a patio table covered in a white umbrella,an umbrella sitting in the grass near a wooden table,"a backyard with a fence, picnic table and an umbrella in the air"
121586,000000121586.jpg,a television is on above a bookshelf full of books,"this is a television, bookshelf and books in a room",tv that is mounted on the wall above shelves,a cat is staring at the television set and books,a living room with a tv and shelves of clutter
121591,000000121591.jpg,skateboarder in mid air on a pink ramp,a person hanging from a skateboard up in the air,a man riding on top of a skateboard down a pink wall,a man riding up the side of a skateboard ramp,a person skateboarding on a wall with graffiti on it
121673,000000121673.jpg,a surfer on a white surfboard riding a wave,surfer wearing red shirt catching a wave in ocean,surfer in red shirt riding on white surfboard,a man on a surfboard is riding a wave,a woman in a wetsuit on a surfboard
121744,000000121744.jpg,a man standing on a tennis court holding a racquet,a man with his hands in his pockets sitting on top of a tennis racket,a man standing on top of a tennis court with his racket in the air,a male tennis player in action on the court,a man sitting on the ground while playing a game of tennis
122046,000000122046.jpg,a woman sitting on a chair holding an umbrella,a young woman sitting on a chair with an umbrella,a woman in a white dress sitting on a chair under an umbrella,a woman in a white dress sitting on a chair with an umbrella,a woman sitting on a chair in front of a red wall
122166,000000122166.jpg,a woman riding a bike down a city street,a man riding a bike past parked cars and buildings,cars parked along a street with people walking on the sidewalks,cars and pedestrians traveling down the street in traffic,some cars are parked and one woman is riding a bike
122217,000000122217.jpg,two skateboarders racing on a road near a side walk,two skateboarders riding on the road in an empty lot,two young men riding skate boards on a track,two men on skateboards riding down a half pipe,two men riding skateboards down a curvy street
122606,000000122606.jpg,a bus on the side of the street,a bus has been stopped on the street,a bus parked on the side of a street,a white and blue bus traveling down the street,a bus that is sitting in the street
122672,000000122672.jpg,a man riding on top of a white surfboard,man on his surfboard rides a wave,the surfer in swim trunks rides the crest of a wave,a man on a surf board riding a wave,a surfer is riding on his board in the ocean
122745,000000122745.jpg,the stop sign is red in the dark sky,the light reflects off of the stop sign,the stop sign lit up on the dark side,a close up of a street sign at night,an image of a stop sign lit up at night
122927,000000122927.jpg,a group of wild birds in the street,a couple of pheasant walking across the road,two wild birds walking on a paved street,two chickens are running down a road near grass,two birds are walking around in the grass
122962,000000122962.jpg,children seated at tables filled with food eating,a group of children sit at a table in front of their teacher,a group of children at tables eating some pizza,some children sitting at the table while others sit and watch,group of children with birthday cakes at a children's party
122969,000000122969.jpg,two zebras stand next to each other in the wild,two zebras stand close together in an enclosed area,zebras eating in the zoo during the day,zebra standing next to each other next to another zebra,two zebra standing next to each other on a forest
123131,000000123131.jpg,a black semi - truck parked next to some yellow trucks,a very big black semi truck parked in the parking lot,semi truck in parking lot in residential area,the cab of a semi truck with flatbed trailer parked in a parking lot,a truck on the road with another large truck in the back
123213,000000123213.jpg,a baseball game is being played as two players look on,a baseball player is getting ready to hit a pitch,the man is preparing to bat during a baseball game,an umpire and a catcher at home plate during a baseball game,"a batter, catcher and umpire during a baseball game"
123321,000000123321.jpg,a close up of a bowl of broccoli soup,some soup with broccoli in a white bowl,the dish is full of soup with broccoli and carrots,there is a bowl of broccoli and carrots soup in it,a closeup photo of soup made with broccoli and carrots
123480,000000123480.jpg,man in the mirror brushing his teeth with a toothbrush,a man holding a tooth brush in front of a mirror,a young man in glasses brushing his teeth,the person is making a weird face in the mirror,a man in a mirror brushing his teeth
123585,000000123585.jpg,there are many birds on the road eating bread,pigeons on the ground eating out of a bagel,the pigeons eat and drink from the bagel,birds eating an orange snack on the street,several birds in a line eating and walking along a paved area
123633,000000123633.jpg,a woman and some small children sitting at a table,two kids sitting at a wooden table in front of an adult,three children sitting in a chair at a table,three children sitting at a wooden table,"children sit around at a table, while the teacher helps them to draw"
124277,000000124277.jpg,two trains on train tracks near a large industrial area,multiple train tracks in front of a large cityscape,two trains are coming up the tracks in an industrial area,there is a train that is coming down the tracks,the train is going down the track at an elevated station
124442,000000124442.jpg,a man on the beach holding a kite,a woman holding a kite while standing on a sandy beach,a man and a child flying a kite on the beach,a man holds a kite as he stands on a beach,a man is flying a kite on a beach
124636,000000124636.jpg,a cow and a calf laying down in the dirt,two brown and black cows standing in an enclosed pen,two animals standing in front of a fence,a cow is standing over another cow who is laying on the ground,two cows that are outside near a fence
124659,000000124659.jpg,there is a living room with a couch and other furniture,"this is a living room with a sofa, green sofa and other living room furniture",the room has two pieces of furniture on top of it,a living room with a green couch and pictures,living room with furniture and decor
124798,000000124798.jpg,a bus is driving down the street by a construction crane,the city bus is moving along the busy street,a colorful bus is driving down the street,"a blue, yellow and white bus driving on the road",the bus is moving along the street near cars
124975,000000124975.jpg,a couple of zebra standing on top of a dirt road,two zebra standing next to each other on a grass covered field,two zebras standing close together on a dirt path,two zebras stand next to each other on the grass,two zebras are standing close together in a field
125062,000000125062.jpg,four teddy bears are sitting on the shelf,a row of teddy bears on a shelf near movies,two white teddy bears sitting on top of a shelf,several books and stuffed bears on a wooden table,several teddy bears are sitting on a shelf
125072,000000125072.jpg,cows stand near the water near green grass,a number of cows on a road near a body of water,cows grazing on the edge of the street by a body of water,a group of cows grazing in the grass by the road,several cows standing by the side of a road
125129,000000125129.jpg,two arab ladies are talking on the phone while three other people watch them,a man that is sitting in a chair,people are standing around and talking on cell phones,a person in an aba is using a cell phone,two businesswomen standing and sitting at a round table discussing paperwork
125211,000000125211.jpg,a zebra that is standing in the grass,zebra in field with grassy background and few people on field,a zebra standing under a tree in a field,a zebra standing under a tree in an enclosure,a zebra that is standing in the grass
125245,000000125245.jpg,the aquarium has fish and plants in it,there are fish in the water at this exhibit,a fish tank with green and blue colored fishes around it,a colorful aquarium is filled with many colorful fish,a colorful fish that is swimming in some water
125257,000000125257.jpg,a skier glides down a slope at the base of a mountain,the person is skiing down a snowy hill,a skier traveling down a road on their skis,a man riding a snowboard down a snow covered slope,a person riding skis on a snow covered slope
125405,000000125405.jpg,two dogs that are running together outside,two dogs running and panting in the sand,the dog is running with a frisbee in it's mouth,two dogs running across a sandy surface,two dogs running around in the grass with each other
125472,000000125472.jpg,a man riding a skateboard over a wooden rail,an person jumping a skateboard in the air,a boy in the air skateboarding on his skateboard,a young man jumping with a skate board,a man on a skateboard in mid air
125572,000000125572.jpg,a tall clock tower towering over a city skyline,a woman riding a bike past an ornate castle with a clock tower,"large tower with clock, and people crossing street",people on bicycles ride on the street near big ben,a person is riding a bike with big ben in the background
125778,000000125778.jpg,a living room has a white rug and large windows,a dark living room with furniture and fireplace,living room with two couches and chair next to fireplace,"the living room has two couches, a love seat, and an open fireplace",a living room scene with focus on the couch
125806,000000125806.jpg,a couple of cows standing on top of a field,two black cows are next to each other,two cows with yellow ears standing by a tree,a cow and a calf in a field next to a tree,one cow sticks its nose out to the other cow's ear
125850,000000125850.jpg,a cat laying in a bowl on top of a wooden table,a cat is curled up in a bowl on the floor,a cat laying in a bowl on a wooden table,a cat curled up asleep in a metal bowl on a wooden floor,cat curled up in black bowl on wooden table
125936,000000125936.jpg,two men and a woman standing at a counter with a display of fruit,people are standing around in a store looking at the fruit,a group of people standing in a store filled with bananas,the people are in a small grocery store,people looking at produce in a market
125952,000000125952.jpg,luggage piled up against a wall with a backpack,luggage bag sitting against wall with umbrella and sleeping bag on it,this luggage bag has been turned into a rolling suitcase,luggage on top of a black suitcase and a white background,a suitcase sitting by a wall full of clothes
126107,000000126107.jpg,a seagull flying over the beach at a pier,a large seagull flies low over the water,seagull flying in air next to the ocean near beach,"seagull flying over the ocean on the beach, and a group of people",seagull flying over a beach with a boat in the water
126110,000000126110.jpg,a truck with a little dog on it's seat,the reflection of a person and their dog in a window,a yellow truck with a dog sticking out of the side door,a woman driving the cab of a semi truck,a dog riding in the cab of a truck
126137,000000126137.jpg,a man holding a tennis racquet on a tennis court,a man standing on top of a tennis court holding a racquet,a man is playing tennis in front of an audience,tennis player on a tennis court about to hit the ball,a tennis player wearing all white prepares to hit the ball
126216,000000126216.jpg,a small herd of elephants is walking through the forest,elephants in a field surrounded by trees,some very large animals walking in the tall grass,three elephants and one baby walking among the trees,a herd of elephants walking through tall grass
126226,000000126226.jpg,a row of baseball gloves and gloves on the ground,a catchers mitt sits in the dugout of a baseball field with baseball,baseball players sit in dugout seats during a game,a view of some baseball players sitting on the side of the bench,some baseball players are waiting with their helmets in the dugout
126592,000000126592.jpg,a red stop sign sitting in the middle of a parking lot,an image of stop sign in the middle of a parking lot,a stop sign on a street corner near a parking lot,a stop sign in front of a street in a parking lot,a stop sign is on the corner near a street name
127092,000000127092.jpg,street signs and cars line the streets on a sunny day,an intersection with several vehicles driving in front of buildings,a street sign with cars parked on the side,there is a sign near the road telling what street this is,the sign on the street indicates the location of the trolley
127135,000000127135.jpg,a pig is on top of some sort of cage,a pig sitting on top of a shopping cart,a cute pig is trying to sit in the little cart,a pig on the side of the road with a banner attached,a little pig is chained to a small cage
127182,000000127182.jpg,"a kitchen area with white cabinets, a stove and sink",this is a very well decorated and clean kitchen,a clean kitchen is pictured in this image,a kitchen with a microwave and stove is shown,"this kitchen has white cabinets, granite counters and an open drawer"
127263,000000127263.jpg,two people jumping into the air to catch a frisbee,two boys jumping up while playing frisbee,two people playing frisbee outside at a park,two boys playing frisbee in an open field,three boys playing ultimate frisbee in grassy area
127270,000000127270.jpg,a woman holding a tennis racquet on top of a tennis court,a woman in white and blue is on a court with a racket,a woman swinging at a tennis ball during a tennis match,female tennis player getting ready to hit a ball,female tennis player in action on the court
127394,000000127394.jpg,a group of people sitting around a wooden table,a group of people sitting at a table with plates of food,group of people sitting at a dining table in a restaurant,there are many people sitting at a table eating,a group of people are sitting around a table eating food
127476,000000127476.jpg,a pizza that is sitting on a pizza pan,two slices of pizza are on a black tray,there are two pieces of pizza sitting on the tray,"the large pizza is missing several slices, on the table","a pizza with black olives, tomatoes, peppers and meat"
127494,000000127494.jpg,a dish with meat and greens on it,vegetables and meat sit on a plate with a spoon,a dish on a plate with greens on it,a plate with meat and greens on it,stir fry meal with meat and vegetables on a plate
127517,000000127517.jpg,five surfboards lined up against a wall in front of a beach umbrella,surfboards are lined up against the wall with one blue one red and one yellow,several surfboards leaning against a wall at the beach,there are surfboards lined up against the beach,surf boards leaning against a rack with umbrellas
127530,000000127530.jpg,a man holding a tennis racquet hitting a ball,tennis player wearing white shorts hits a tennis ball,the man is hitting a tennis ball with his racket,the man is playing tennis on the court,a male tennis player with a racket and ball
127624,000000127624.jpg,a train moves down the tracks in front of a city skyline,train in city moving with colorful night sky and skyline,a train on tracks with a city in the background,the train is going through the city at sunset,trains passing through the train station at dusk
127660,000000127660.jpg,a woman is posing in a piece of luggage,a woman with purple paint on her face sitting in a suitcase,a woman with long hair sitting inside of a suitcase,a girl sitting in the seat of an empty suitcase,a woman is on a suitcase that she is wearing with a purple bow
127955,000000127955.jpg,two brown bears fighting in a body of water,two brown bears are playing in the water,two bears playing in the water together at a zoo,two bears in the water with their mouths open,two bears are playing in the water and it is big
127987,000000127987.jpg,"a person sitting at a desk with a computer, cell phone and other things",a figurine of a man holding something in his hands,a toy figure is posed next to two computer screens,a toy figurine sitting next to a computer monitor and keyboard,a bobble head doll sitting in front of a computer
128051,000000128051.jpg,the bus is being repaired with a trailer attached,an old bus in a yard near a large grey car,the bus has been converted to travel through a lot of grass,a bus that is sitting in the grass,a bus sitting in the grass next to a car
128112,000000128112.jpg,a person in the snow skiing on a very snowy hill,a lone skier moves his way down the trail,the skier is traveling through deep snow,a person skiing down a snow covered mountain,a person riding skis on top of a snow covered slope
128148,000000128148.jpg,brown furniture in small living room with pink walls,this is a living room with wood flooring and large windows,"a living room with wood flooring, purple walls and a leather couch",a view of a living room with wooden floors,a living room with leather furniture on hardwood floors
128372,000000128372.jpg,people are waiting at the bus station for their transportation,several people are lined up outside on the side of a bus,people boarding a passenger bus in the middle of a street,some people walking around a bus at the bus station,a group of people standing next to a passenger bus
128476,000000128476.jpg,a cake sitting in the middle of a row with heart decorations on it,a table topped with lots of heart shaped cakes,a row of heart shaped cakes with pink frosting,cakes in the shape of hearts on display for sale at an outdoor market,a lot of cakes decorated with frosting and decorative flowers
128598,000000128598.jpg,a bowl with several fruits sitting on a table,a bowl filled with different types of fruit,there is a bowl that is filled with different types of fruits,a large basket filled with yellow and brown fruit,a bunch of fruit sitting together in a basket
128654,000000128654.jpg,a man flying through the air holding a frisbee,man with the arms extended in the air playing frisbee,a man jumps high into the air to catch a frisbee,a man in black and yellow shorts playing with a frisbee,a man jumping in the air catching a frisbee
128658,000000128658.jpg,a white plate topped with waffles and sliced bananas,"a plate of waffles, bananas, strawberry slices and ice cream","a plate with waffles, ice cream and strawberries",waffle with bananas and strawberries on the plate,"a plate has fruit, ice cream and bananas on it"
128675,000000128675.jpg,a man flying a kite over a large body of water,a man is flying a kite in the water,someone windsurfing over a calm lake with a para sail,"two people on boards, some water skiers and others on a lake",two people on a ledge by the water parasail
128699,000000128699.jpg,a man is jumping off a ramp on his skateboard,the skateboarder is jumping over the barrier with his board,a person doing a skateboard trick in the air,a boy doing tricks on his skateboard over a block,a skate boarder making a jump over a brick wall
