image_id,fname,sample_1,sample_2,sample_3,sample_4,sample_5
15338,000000015338.jpg,a bus and some trees on the side of a street,a street with a bus parked near it next to trees,a city bus is driving on the road,the yellow and black bus is on the road,a bus is sitting at a bus stop
15440,000000015440.jpg,a red stop sign sitting under a street light,a stop sign sitting on the corner by a fence,street sign with multiple directions on post on roadway,a stop sign on the corner of the street,a stop sign stands at the corner on an empty street
15497,000000015497.jpg,cat is on the floor beside a mouse and computer mouse,cat laying on couch next to computer mouse,a cat laying on a bed with a computer mouse,cat laying on a sofa with a computer mouse,a cat on a bed looking concerned as a computer mouse lies near it
15517,000000015517.jpg,two buses on the road in a city,two passenger buses pass each other on a street,buses are lined up next to each other in an urban area,several buses are at the depot ready to pick up passengers,a busy street filled with buses driving on it's sides
15597,000000015597.jpg,a shirtless skateboarder skating on a half pipe,skateboarder on skate board and his shadow in the ground,an image of a person skateboarding on a ramp,there is a person doing skateboarding on a ramp,a man riding a skateboard on the top of a ramp
15660,000000015660.jpg,a man kite boarding in the ocean with a lot of wind,there are people flying kites in the ocean,person is holding on to surfboard in water,a person riding a windsurfing in the ocean,there is a man that is windsurfing on the beach
15746,000000015746.jpg,a red fire hydrant sitting in a grassy field,a red fire hydrant sitting next to a lush green field,the fire hydrant is painted red and black,the fire hydrant is orange with black rims and is in the grass,a red and black fire hydrant is in some grass
15751,000000015751.jpg,a little bird flying over another bird in the yard,small birds are all around the roof together,a group of birds sitting on the outside of a shed,several birds flying over an unfinished roof top,four birds standing outside on the roof and looking
15956,000000015956.jpg,a woman walking her horse through a stable,a girl walking a horse inside a barn,a person walking with a horse inside of a barn,a man in jeans walking a horse around an indoor arena,a woman is walking around in a barn with a horse
16010,000000016010.jpg,"zebras, other animals and rhinos are in the green field",a bunch of zebras are out in a green field,there are many zebras and wildebeests that can be seen in this field,there are many animals in the wild one zebra is eating grass,the zebras are grazing on the grass in the field
16228,000000016228.jpg,a horse drawn trolley with passengers on the street,a trolley train carrying people in a street,a horse - drawn trolley is making it's way down a street,an image of a carriage with a horse,an orange and green trolley rides down the street with people in the cart
16249,000000016249.jpg,an old man sits on a bench outside on his phone,an older man sits on a bench in a city,people are sitting on benches in a sidewalk,people are sitting and walking on some benches,a group of people sitting down on park benches next to a building
16439,000000016439.jpg,the laptop is sitting on top of the desk,a laptop and some yellow candles on a wooden table,a laptop sits on a small wooden desk,a lap top on a wooden desk under a lamp,a laptop computer sits on top of a desk
16451,000000016451.jpg,many surfboards laying on top of a sandy beach,"several boards, umbrellas and beach towels lie on the beach",several beach gear is laying on a sandy beach,some surfboards in the sand on a beach,two surfboards sitting in the sand at a beach
16502,000000016502.jpg,a sheep standing on a rock formation near some clouds,a sheep standing on a mountain with green grass,a ram stands atop some rocks with blue skies in the background,sheep on the rocks with sky in background,a sheep standing on top of a large rock
16598,000000016598.jpg,the girl with blue hair is holding up her phone,a woman with blue hair takes a picture of herself in the mirror,a woman is taking a selfie in a mirror,a person with blue hair takes a selfie,a woman with bright blue hair taking a selfie
16958,000000016958.jpg,a living room with an old fireplace and chairs,a chair is sitting by a fire place in a room,there are two antique furniture sitting near the fireplace,"the corner of a room with furniture, pictures and fireplace",the antique looking room has a black fireplace
17029,000000017029.jpg,dog jumping to catch a frisbee in the air,a dog jumps to catch a frisbee in its mouth,dog jumping up into the air catching a frisbee,a dog is jumping to catch a frisbee,a dog catching a frisbee in the air with its mouth
17031,000000017031.jpg,a close - up of a giraffe's head looking at the camera,a close up view of the head of a giraffe,the head of a giraffe standing between two trees,a giraffe looking at something with its tongue hanging out,the giraffe looks on as people look at it
17115,000000017115.jpg,a couple of zebra standing on top of a field,a pair of zebras looking towards the camera,two zebras walk side by side toward an enclosure,two zebras in the field behind a chain linked fence,two zebras looking back and standing in their pen
17178,000000017178.jpg,horses are walking down the side of the road,horses in an alley between a car and a fence,a number of horses near a car,two horses on the street next to parked cars,the horses are in their lane to get some attention
17182,000000017182.jpg,an empty classroom is next to an chalkboard,a classroom with a chalk board and blackboard,a blackboard is behind a wooden table,a chalkboard behind a wooden desk with wooden chairs,"a room with a blackboard, chair, and desk"
17207,000000017207.jpg,a bus that is sitting on the street,a passenger bus that is driving down the street,a bus on a city street next to a car,a yellow and white bus traveling on a street,a street scene with a bus driving down the road
17379,000000017379.jpg,tv displayed in mirror at a public restroom,a tv is mounted above a marble counter,a television is mounted on the wall of a bathroom,tv screen and large mirrors in public restroom,the bathroom has a flat screen tv on the wall
17436,000000017436.jpg,a couple sitting on a bench in front of a clock tower,a man sitting on top of a wooden bench next to a tall building,two people are sitting on a park bench with flowers and bushes,a man sitting on a bench next to a tower,two people sitting on a park bench in front of a building
17627,000000017627.jpg,several cars line the street near a building,several cars parked outside of an old building,a bunch of cars that are parked in the street,cars are stopped at an intersection in a city,this is a lot of cars parked along side a bus
17714,000000017714.jpg,a close up of a plate of food with food on it,an image of plate of food that is sitting on the table,a breakfast table with pastries and coffee,a table topped with a plate of food and cups of coffee,a table filled with a plate and some pie
17899,000000017899.jpg,an old lady prepares various pastries on the kitchen table,a woman is preparing cookies in her home,a woman is putting icing on pastries at the table,an older lady in an apron slicing up cookies and other items,an old woman preparing a large assortment of food
17905,000000017905.jpg,man standing beside a traffic light in a foreign country,the man is standing next to his stop light,man standing next to a traffic light and sign,a man stands at the corner in front of a traffic light,a man standing in front of a traffic light
17959,000000017959.jpg,several colorful kites flying through the air near a park,the colorful kites are flying in the air,a group of kites with clown fish kites hanging in a park,an array of clownfish kites hang from the grass near a park,many people fly colorful kites at a festival
18150,000000018150.jpg,the young boy is playing with his father,man looking at a little boy eating a slice of pizza,a man handing a slice of pizza to a child sitting on the floor,a man and a child are sitting on the floor,a boy eating a slice of pizza next to a man
18193,000000018193.jpg,a woman sitting in a chair eating a slice of pizza,the girl is enjoying a meal of chicken strips,a woman in a chair eats while sitting in a chair,a young woman sitting in a camping chair eating food,woman sitting in an outdoor chair eating food
18380,000000018380.jpg,group of people at table with food for four,people are gathered at a large dinner table,a group of people are sitting around the dinner table,a bunch of people that are sitting around a table,a family sits at a dinner table to celebrate
18491,000000018491.jpg,a baseball player at bat in the batters box,the baseball player is running to home plate,some baseball players are playing baseball on the field,a boy playing baseball is sliding into home plate with his foot,a young man in white jersey and blue shorts is playing baseball
18519,000000018519.jpg,the young man is wearing all black skating,a skate boarder doing tricks at a skate park,a man in a black shirt skateboarding on a skateboard ramp,a person riding on a skate board on a ramp,a skateboarder is doing stunts at the skate park
18575,000000018575.jpg,"a meal consisting of fries, french fries, and a sandwich","a tray with plates of food that include bread, fries, a sandwich and ke",a table with plates of food and drinks,"a meal with fries, cheese and tomato and an open face sandwich on the plate","sandwich, french fries and pickle on plate with drink"
18737,000000018737.jpg,the red motorcycle is parked next to a tall tree,a red motorcycle parked in front of a tall palm tree,a red motorcycle parked in front of a palm tree,a large red motorcycle parked near a beach,the motorcycle is parked on the side of the street
18770,000000018770.jpg,an older man wearing a suit and tie,an older man with eye glasses on wearing a suit and tie,an older man in a suit and tie looking off to the left,an older gentleman in glasses is dressed up for a ceremony,a close up of a person wearing glasses
18833,000000018833.jpg,a white and grey kitten sleeping next to two pairs of sneakers,there is a small cat that is asleep on top of some shoes,a cat sleeping on top of a pair of shoes,a cat sleeping on top of someone's shoe,a cat sleeps inside a pair of shoes
18837,000000018837.jpg,two men unloading equipment from the back of a green truck,the people are standing on top of the green truck,men unloading items on the back of a green truck,two men in helmets standing on the front of a green dump truck,two workers are on the roof of a green truck
19042,000000019042.jpg,a river with rocks and a person standing near the water,a water bird in the middle of a rocky riverbank,a bird sitting in a stream near rocks,a river with several rocks and a bird,a bird is standing on a rock in a river
19109,000000019109.jpg,people are lined up outside the front of store where motorcycles are parked,several parked motorcycles line a street in front of shops,a sidewalk with many motor scooters lined up on the side,a row of scooters parked in front of a bakery,there is a bunch of scooters on the street
19221,000000019221.jpg,a small piece of broccoli sitting in a persons hand,a close up of a person holding broccoli,a small piece of broccoli with a hand holding it,a hand is holding a small piece of broccoli,someone holds the piece of broccoli in their hand
19402,000000019402.jpg,a woman and man are posing for a photo,the man and woman are in winter coats,two people in coats and hats standing near each other,two people wearing hats in an old looking looking restaurant,two people eating doughnuts with faces partially covered
19432,000000019432.jpg,a man playing tennis at the court,the tennis player is preparing to hit the ball,a man is standing on the tennis court and has his racket in hand,man standing on blue tennis court holding racket in hand and ball on tennis court,a man playing tennis with a tennis ball in his hand
19742,000000019742.jpg,a brown vase with some orange artwork on it,a close up of a wine glass on a table,a glass vase in the corner is on a table,the orange glass is sitting on the table next to the candle,this is an image of a wine glass in the background
19786,000000019786.jpg,a man is dancing near an object with another man sitting behind him,two men are laughing with the camera and a light set up,a man is in the middle of video shoot with a camera,a man standing inside of a living room with his headphones on,a man standing in a living room with an open umbrella
19924,000000019924.jpg,a woman with a black hat is smoking a cigarette,woman in black hat smoking a cigarette while looking into camera,the woman in the hat is smoking a cigarette,a woman smoking a cigarette with a hat on and holding a cigar in her mouth,a woman in a large floppy hat is smiling
20059,000000020059.jpg,two zebras in their enclosure at the zoo,two zebras grazing on a green field with trees,two zebra standing on a lush green field,two zebras standing in a grassy zoo enclosure,two zebras eating grass next to some trees
20107,000000020107.jpg,an old fire hydrant with a rusted up top,an old rusty fire hydrant is placed in front of a cement wall and tree,a rusted fire hydrant on the side of a city street,a rusty old fashioned fire hydrant near some flowers,a fire hydrant with flowers behind it on the curb
20247,000000020247.jpg,two bears walking across a rocky area near brush,two grizzly bears walk along the road in their natural habitat,two bears walking across a sandy field near brush,two brown bears walking on the side of a dirt road,two brown bears walking across a dirt path
20333,000000020333.jpg,the boy in tie is sitting on the ground and posing,a young boy with a tie is playing in the dirt,a young boy is playing in the dirt,a young boy in a tie plays with a bowl,the boy in the tie is playing with the water
20553,000000020553.jpg,a teddy bear sitting on a bed surrounded by tea and condiments,there are stuffed animals and other stuff on a table in the desert,a bed and small table sit on the desert ground,a few teddy bears and other items are set out in a desert setting,a pile of stuff animals sitting on top of a brown field
20571,000000020571.jpg,fishing boats at the dock in the bay,boats tied up at the pier in the water,a fleet of fishing boats sitting next to each other on a dock,"a dock is filled with boats, and it has many mooring poles",a row of boats at the dock in a bay
20992,000000020992.jpg,a woman sticking her tongue out while holding a hot dog,a woman with a very long hot dog in her mouth,a woman taking a bite out of a hot dog,the woman is holding a hot dog in her mouth,the woman is eating a hot dog outside
21167,000000021167.jpg,a woman and a man in formal wear stand by each other,two people in formal wear standing in a room,a woman with a glass in her hands and a man in a suit,a couple of people that are looking in the mirror,a man and woman standing next to each other
21465,000000021465.jpg,there is various pieces of art being displayed,two small tables sitting in the middle of a room filled with stuff,several different sized and color wooden tables in a room,there are many small pieces of artwork and stuff on display,a blue shelf holding knick knacks and other items
21503,000000021503.jpg,a plate with different kind of biscuits on it,a few small pieces of food are placed on a plate,short biscuits sitting on a plate by a computer keyboard,pieces of toast and frosted cookies on a plate,some small biscuits on a plate near a keyboard
21604,000000021604.jpg,a man in a suit poses with his glowing tie,a man in a suit wearing a tie has his hands under his shirt,man adjusting light up tie and jacket against grey background,"man in black suit and tie, holding light up glasses",a man wearing a light up tie
21839,000000021839.jpg,there is a man that is walking down the street,a person walking on the street next to a traffic signal,a person walking across a street with people and buildings in the background,a woman walking across a street in front of a traffic light,a man is crossing the street at night in front of a building
21879,000000021879.jpg,two women riding surfboards on top of a wave,three people on surf boards surfing in the water,two women in bikinis surf with people lying on surfboards,a young woman riding a surfboard on top of a wave,woman in bikini surf boarding on small wave
21903,000000021903.jpg,a man is touching an elephant's trunk with his trunks,an elephant standing on top of a wooden fence,two zoo keepers help a man pet an elephant,an elephant that is standing by a man,an elephant reaches its trunk out for a persons hand
22192,000000022192.jpg,a dog that is laying on some type of bed,a dog sitting on a bed with an overstuffed pile of clothes,a dog sits in an overflowed room with clothes all around it,brown pit bull dog sitting on bed in front of a pile of unmade clothes,a pit bull dog is laying in front of the sheets of clothes
22371,000000022371.jpg,a man sitting in front of a laptop on top of a wooden desk,a businessman who is looking at a computer screen while sitting at his desk,a man is sitting at a desk and making notes,"a business man is sitting at his desk, holding his nose to his mouth,",a man in glasses sits at his desk in front of a laptop
22396,000000022396.jpg,a large jetliner flying past a partial moon,an airplane flying in the sky with the moon in the background,an airplane flies through the air past the moon,a plane that is flying by a half moon,an airplane that is flying in the sky
22479,000000022479.jpg,a man riding on top of a skateboard at a park,the man is doing tricks on his skateboard,a man is jumping in the air on a skateboard,a guy doing tricks on a skateboard at a park,a skateboarder is mid air as he attempts a trick
22589,000000022589.jpg,two sheep with dirty wool are standing behind a fence,two sheep standing next to each other behind a fence,two sheep are behind a wire fence in a park,a few sheep that are behind a fence,two brown and white sheep next to some wires
22623,000000022623.jpg,a close up of an electronic device on a table,a closeup of a cell phone on a table,the cell phone is made with a touch control,a cell phone sitting on top of a table,a camera with some sort of eye and a camera
22705,000000022705.jpg,a woman standing in front of a silver refrigerator,a woman standing in front of a fridge with drinks,a woman is standing in the kitchen with her legs crossed,the woman is posing for a photo in front of the refrigerator,a woman holding a glass in front of a refrigerator
22755,000000022755.jpg,a car's side mirror is reflected in a car's side view mirror,a rear view mirror on a yellow school bus reflecting the roadway,a view of the rear view mirror from a school bus,the mirror on the side of a yellow bus,a school bus rear view mirror is seen here
22892,000000022892.jpg,a cat and dog looking outside through a glass door,a cat looking at a dog in the window,there is a cat and dog standing outside near a door,a cat standing on the table looking out of the window with a dog sitting next,a cat looking at the dogs from inside a house
22935,000000022935.jpg,woman in blue soccer uniform with soccer ball,a female soccer player holding a ball during a game,two woman are playing soccer in front of a blue ball,a woman is chasing a soccer ball while another watches,two young female soccer players are running after the ball
22969,000000022969.jpg,"two giraffes in their enclosure, one reaching for something over the wall",two giraffes in a large zoo enclosure grazing from trees,giraffes stand and graze at the zoo enclosure,two giraffes standing next to a wooden fence near a forest,two giraffes standing in an enclosed area
23023,000000023023.jpg,a black and white image of luggage next to window curtains,the suitcases are beside bags on the carpet,luggage bags are lined up against the wall,luggage is sitting on the carpet next to curtains,three pieces of luggage sitting on the floor by a window
23034,000000023034.jpg,a man walking down the trail between two horses,some people on a trail and some brown horses,a man wearing a red cap is riding his horses on the trail,a man in red hat walking down a dirt path with two horses,a man and some horses in the woods
23126,000000023126.jpg,a man that is riding a horse in the street,a man is riding a horse and is using rope to lead him,the man is riding on a horse while standing on the track,a man on top of a horse walking it's body,a person walking on top of a horse
23230,000000023230.jpg,a group of swans swimming in a lake,a small flock of birds swim across a lake,four geese swimming on a pond near bushes,the four geese are on the small lake,a large body of water with some animals swimming around
23272,000000023272.jpg,a cat sitting on top of the front windshield of a car,a car with a cat sitting on top,a cat sits on the hood of a car,an orange and white cat sitting on the hood of a mercedes,a cat sitting in the roof of a car
23359,000000023359.jpg,a snowboarder jumping high in the air on his snow board,a man riding a snowboard down a snow covered slope,snowboarder making a big jump in the air above the snow,the snowboarder is in mid air going down a snowy slope,a snowboarder in brown jacket doing a jump
23666,000000023666.jpg,a bath room with a toilet and a bath tub,the toilet in the bathroom is in the corner,this bathroom has an old fashioned toilet and old bathtub,a bathroom has a toilet and tub in it,a toilet in a bathroom with some brown tiles
23751,000000023751.jpg,two people holding a kite standing on some steps,the statue of two people holding a kite on top of a building,a man flying a kite in front of a building,there are two people standing on a ledge with a kite,a couple of people standing on top of a building
23781,000000023781.jpg,several baskets full of fruit and vegetables are seen here,"some strawberries, bananas, radishes, broccoli and another kind","assorted fruits and vegetables on display, on white cloth",a group of fruits and vegetables sitting on top of a counter,some different fruits and vegetables in their baskets
23899,000000023899.jpg,three guys are sitting down playing video games,the two guys are enjoying playing video games,two men playing video games while sitting on a couch,three men are playing with video games in a bedroom,two men sitting on a couch playing video games
23937,000000023937.jpg,the cows are laying down in the grass,cows are lying in the shade next to a tree,a few cows laying in a field by a tree,many cows laying in the grass next to a tree,a herd of cows laying down and grazing on some green grass
24021,000000024021.jpg,the group of young boys are posing together,black and white photo of students posing for class,an old picture shows several men and girls,a class photograph taken by an old camera,"black and white photo of boys in uniforms and ties, with brick buildings behind them"
24027,000000024027.jpg,a very colorful kite flying in the sky,the large kite has an attached tail in flight,the colorful kite is flying in the sky,a colorful kite is flying over a park,a big colorful kite flies in the sky
24144,000000024144.jpg,large pizza in box with pepperoni and cheese,a cheese pizza inside a box is ready to be eaten,a large cheese pizza sitting inside a box,a large cooked pizza in a box on the ground,a large cheesy pizza in a cardboard box
24243,000000024243.jpg,a woman leaning against an open fridge next to another person,a woman is looking in an open refrigerator,"a woman sitting in an old refrigerator, while her companion talks on the phone",two people sitting inside of an open refrigerator,a woman sits in the fridge and looks concerned as she talks on her phone
24567,000000024567.jpg,there is a man sitting down at the table with hot dogs,a man in a hat holding a metal tray full of hot dogs,there is a man sitting on the bench with hot dogs,a man is making hotdogs on a tray,a man standing over some hot dogs on a tray
24610,000000024610.jpg,there is no image on this page to describe,a laptop and computer monitor are on the table near a bookcase,"a room with a table, couch and laptop computer","there is a room with several books, a computer, and other furniture",a living room scene with a couch and a laptop
24919,000000024919.jpg,two elephants in an open field with trees and fog,a couple of elephants that are in the grass,two brown elephants with tusks walking through a grassy field,two elephants standing on top of a grass covered field,two elephants walk through tall grass in the wild
25057,000000025057.jpg,a man with no shirt standing in a field,a man wearing a hat is throwing a frisbee in the park,a shirtless man holds a frisbee as another person runs by,the shirtless man is playing with frisbees in the park,a man holding onto a frisbee while standing on top of a green field
25096,000000025096.jpg,a boy in a blue shirt is cutting a cake,a boy is cutting into a cake with a knife,a child cutting into a cake on top of a table,a boy is sitting at a table cutting into a train shaped cake,two boys sitting at a table while cutting a chocolate cake
25139,000000025139.jpg,a couple of zebra standing next to each other,zebras are in the pen and the zebra is looking at the camera,two zebras standing behind a fence by a forest,two zebras standing together at the zoo,two zebras standing next to each other and looking into the camera
25181,000000025181.jpg,the train station has two trains stopped on tracks,a black and white photo of two train carts,the subway platform is empty and ready to be picked up,a black and white photo with a train on the tracks,the black and white image shows two trains on the tracks at the train station
25228,000000025228.jpg,a woman riding on a surfboard under a cloudy sky,a young lady that is sitting on her surfboard,a woman sitting on top of a surfboard,a woman sitting on top of a surfboard in the water,a person with a red surfboard at the ocean
25386,000000025386.jpg,a man sitting next to a woman with chopsticks in hand,a man and a woman in a train sitting at a table with food,a man and a woman sitting in seats with food,a man and woman eating lunch on a train,a couple of people sitting down with plates of food
25393,000000025393.jpg,two young men in suits crossing street at night,two men wearing ties are walking across a street,two men walking on street in ties and suits,"two guys are walking on the street, dressed in suits",two guys that are dressed up and walking down the street
25394,000000025394.jpg,there is a man that is getting a beverage,a man pouring liquid into a glass on a table,there is a man holding a glass with wine in it,a man is pouring something in a glass,man drinking a beverage while a bar manager prepares it
25424,000000025424.jpg,a man getting ready to hit a tennis ball,a man is leaping to hit the tennis ball,a tennis player jumps to return the ball with his racquet,a man is swinging his tennis racket at the ball,tennis player about to hit a ball with his racket
25560,000000025560.jpg,a white and brown cat stands on a table near a tv,an orange and white cat is walking on top of a tv stand,the cat is climbing the stand near the television,the cat is standing on a stand that has the television on and the tv monitor,cat standing on tv stand watching television
25593,000000025593.jpg,this is an image of three asian street signs,a street sign in the middle of the day,street signs in english and chinese written in asian,a sign in china says cyclists and bicycles are not allowed,two different street signs with english and chinese writing
25603,000000025603.jpg,there is a young girl sitting at the table eating pizza,a girl eats her food at a restaurant,the girl with a long hair is sitting at a table,"a young girl eating at a restaurant, next to a pizza",the girl is enjoying her pizza in the restaurant
25986,000000025986.jpg,food is laid out in front of two metal dishes,the counter is covered with various dishes of food,several food items sit on a kitchen counter top,a table full of food is sitting on the counter,plates of food lay across a silver tray on a metallic counter
26204,000000026204.jpg,"cars, trucks, bus and ambulance wait at an intersection on a busy city street",cars and trucks stopped at a red light on the street,an intersection on a busy city street with many cars,several cars and a bus stopped at an intersection,a busy street in the city with cars driving down it
26465,000000026465.jpg,the laptop has three electronic devices on top,the laptop is sitting on top of the table,a laptop on a table with a cell phone next to it,a desk top with an open laptop and various cell phones on it,a laptop computer sitting on top of a white desk
26564,000000026564.jpg,two computer monitors on top of a desk,a desktop computer sitting next to a laptop on top of a desk,a computer monitor sitting on top of a desk next to a keyboard and mouse,"a desk has a keyboard, laptop, and computer monitor on it",two computers sitting on a corner desk next to each other
26690,000000026690.jpg,a person jumping in the air while riding a skateboard,a person on a skateboard in the air over a group of people,skateboarder jumping at the top of a ramp in front of crowd,man on skateboard high up in the air over spectators,a man is doing a trick on a skateboard in the air
26926,000000026926.jpg,a fire hydrant on the sidewalk is painted orange,a fire hydrant painted like a smiley face,a fire hydrant on a city street,an orange fire hydrant with graffiti on it sitting in the middle of the street,there is a fire hydrant on the sidewalk
26941,000000026941.jpg,the many suitcases are sitting on the green cart outside the building,a pile of luggage sitting on a trailer next to a store,several pieces of luggage stacked on top of each other,a pile of luggage is on the back of a truck,multiple suitcases piled on top of each other
27186,000000027186.jpg,the little girl in the pink dress holds up a remote,a little girl standing on top of a sofa holding a video game controller,little girl standing in living room next to brown couch,a little girl standing with a video game remote control in her hand,a little girl that is standing in a living room
27620,000000027620.jpg,this home office has a computer and other gadgets on the desk,a chair sits under a glass desk,a computer sitting on top of a glass desk,a glass computer desk with a keyboard and monitor,a glass desk in a small office area
27696,000000027696.jpg,a pizza sitting on top of a white plate,a sliced pizza topped with cheese and green peppers,a pizza on top of a white plate next to a red checkered table cloth,a pizza with a knife and fork on a plate,the pizza has green peppers on it as if eating
27768,000000027768.jpg,a transit bus on a street in front of a tall building,a red and white bus parked in front of a tall building,a public transit bus sits parked in the street,a city bus parked in front of a large building,an outdoor bus is traveling down the street
27932,000000027932.jpg,a baseball glove with a hat attached laying in the sand,a baseball cap on top of a mitt,a baseball catchers mitt laying in the sand,"a baseball cap, glove, and bat laying in the sand",a baseball glove is sitting next to a black pole
27972,000000027972.jpg,man surfing on the ocean waves in the sun,a man that is on a surfboard in the water,a young man in a red shirt riding on top of a surfboard,a man in a red shirt on top of a surfboard,man riding on top of a surfboard in the ocean
27982,000000027982.jpg,a bathroom with toilet and sink in it,"the black and white photo shows a bathroom with a sink, toilet, and shower","a bathroom with a sink, toilet, and mirror",a toilet that is next to a sink,two different toilets are in a bathroom one is missing the seat and the other has
28285,000000028285.jpg,a church tower on top of a tiled roof,a steeple on top of a building with a clock and weathervane,a building with a clock tower next to some trees,a white clock tower sitting on the side of a building,the white clock tower with teal roof is situated at the top of a roof
28449,000000028449.jpg,a herd of elephants walking along a dirt path,a group of elephants walking across a dirt road,several elephants are walking down the road near a bush,"an elephant walks across a dirt path, surrounded by trees",large elephant in front of other elephants on dirt trail
28452,000000028452.jpg,there is no image here to provide a caption for,a close up of an empty fridge door,a close up of an open refrigerator freezer,"an empty, white refrigerator with the door open",an empty refrigerator with an icebox door opened
28809,000000028809.jpg,a close up of bananas with stickers on them,a group of yellow bananas in a row,a bunch of bananas are lined up on a shelf,several bananas lined up in a row with some stickers,several yellow bananas stacked on top of each other
28993,000000028993.jpg,two fire hydrants with buildings in the background,there are three fire hydrants standing out in the city,two orange fire hydrants sitting in the middle of a sidewalk,three fire hydrants lined up in the middle of a street,a city street that has three orange fire hydrants next to each other
29187,000000029187.jpg,a person riding a horse drawn carriage in the middle of a track,a woman riding a horse and carriage on a race track,a person riding on the back of a brown horse,a person riding a horse along a dirt road,a man in uniform riding a horse pulling a cart
29393,000000029393.jpg,a dog that is standing on a porch,a brown and white dog standing in the yard,there is a brown dog on the back porch,a dog is standing on a patio near some trees,a dog standing on the bench in front of an orange tree
29397,000000029397.jpg,a person in red pants is standing on a bench with blue tape,there is a person standing on a bench,the person is standing on the bench that has been placed on the ground,a person standing on a bench with writing on the ground,someone standing on a wooden bench with a sign sitting in the back
29596,000000029596.jpg,the living room is well decorated with a nice sofa,this hotel room has a table with two chairs,a hotel room with an orange sofa and table,the hotel room has a table and two chairs,"a hotel room that has a couch, table, and large television"
29640,000000029640.jpg,this is an image of a skillet filled with broccoli and other vegetables,"vegetables, meat and broccoli being cooked in a wok",a skillet filled with vegetables and meat sitting on a stove,cooked meat and broccoli mixed in with carrots and green peppers,broccoli and other vegetables are in a skillet
29675,000000029675.jpg,three hotdogs with cheese on top sitting on a black plate,"three hot dogs with mustard on them, sitting on a black plate","two hot dogs are sitting on a plate, next to an appetizer bar",three hotdogs sitting on top of a black plate,three hot dogs with mustard sitting on top of a plate
29984,000000029984.jpg,two people in the ocean with an umbrella,some people sitting on lawn chairs at the beach,an umbrella and a chair on the beach,two men and one woman in the water at the beach,people relaxing in the water at a beach
30213,000000030213.jpg,a kitchen with an island with a table sitting next to it,"a large kitchen with a center island, cabinet, refrigerator and sink",an old fashioned kitchen that has green wallpaper,the green wallpaper in a bathroom is very old,this is a view of a very retro kitchen
30494,000000030494.jpg,the dog is walking in the woods by the tree,a black and white dog standing on top of a leaf covered ground,a dog that is walking in the dirt,the dog is walking around the park carrying something,a small dog walking past a large tree on the ground
30504,000000030504.jpg,a person riding skis down a snow covered slope,a man is skiing in deep snow on a trail,a woman skier goes down a mountain in her ski gear,person with a backpack and skis on a path through the snow,a skier is making his way down the slope
30675,000000030675.jpg,a bright orange train riding on the tracks,orange and black train engine passing through trees,"a orange train on the tracks, with trees in the background",a train is driving along the tracks in front of some trees,an orange and black train engine passing on train tracks near trees
30785,000000030785.jpg,a white plate topped with two pieces of toast covered in green guacamole,a plate with food that includes vegetables and a sandwich,a meal with some vegetables and guacamole,"a plate of broccoli, bread and white dip",this is a plate of different kinds of foods
30828,000000030828.jpg,an orange sleeping bag sitting on top of a park bench,a person sleeping on a park bench near the parking meter,a person laying on a park bench with sleeping bags underneath,a person laying on a bench with sleeping bag,the person has fallen asleep on the bench
31050,000000031050.jpg,some assorted potted plants are in a vase,vases and art work displayed on display in museum,flowers are in a vase sitting on display,a vase with dried plants inside it on a shelf,a brown vase with many flowers on top of it
31093,000000031093.jpg,a man is skateboarding in a big bowl at a park,a skateboarder riding on a ramp near several other skaters,a man riding a skateboard down the side of a cement ramp,a guy riding on a skateboard in a half pipe,a man in a skate park doing tricks
31118,000000031118.jpg,a tall clock tower sitting in front of a christmas tree,large building with christmas tree in front and large clock tower,a clock tower lit up at night in front of a christmas tree,a clock tower with christmas lights in the background,people walk on the streets near a lighted christmas tree
31217,000000031217.jpg,a person holding a tennis racquet standing on a court,there is a tennis player returning the ball,a person is playing tennis on the court,a man playing tennis on an outdoor court,a person playing tennis on a court near a fence
31248,000000031248.jpg,a room with a chair and bookshelf filled with books,two chairs and a lamp in a room with bookshelves,there is a living room with book shelves and couches,a living room filled with furniture and books,a living room filled with furniture and decor
31269,000000031269.jpg,two zebras grazing in the middle of a grassy field,three zebras are grazing in an open field,two zebras eating grass in a field on a sunny day,there are three zebras grazing on a grassy field,three zebras standing on the grass in front of a hill
31296,000000031296.jpg,"a group of people sit at a table, eating, and drinking",an old people sitting around tables and chairs,several people sitting at a table talking with one another,there are many people sitting at the table in this restaurant,a bunch of people sitting around the dining room
31322,000000031322.jpg,swan numbers are in the water with boats docked on land,"ducks, swans and sailboats are anchored at the harbor",a flock of swans swimming on top of a river,swans and their mate on the water in a marina,the group of swans are swimming in the water
31620,000000031620.jpg,a man and woman cutting into their wedding cake,bride and groom cutting their wedding cake inside of a tent,the newlywed couple cut the wedding cake,two people getting married at the reception in a tent,a bride and groom cutting their wedding cake
31735,000000031735.jpg,a living room scene complete with furniture and window,the room has many furniture in it including a couch,a red living room with a couch and lamps,a blue couch in a room with a large window,"a room with three windows, some pictures on the wall, and furniture"
31749,000000031749.jpg,a doll with a lot of faces near a clock,two dolls sit beside a clock with a face for a picture,an image of a woman with clock on desk,a clock and two dolls placed on top of a table,"a girl with red hair, dress and clock on table"
